# OECD Entrepreneurship Financing DB, 'Venture capital investments
# (market statistics)', dataflow DSD_VC@DF_VC_INV. Total stage only,
# % of GDP and absolute US$ (millions). Accessed 2026-06-24.
country,stage,unit,year,value
United States,Later stage venture,Percentage of GDP,2015,0.1681081624263085
Russia,Total,"US dollars, exchange rate converted",2008,161.76
Russia,Total,"US dollars, exchange rate converted",2009,123.75
Russia,Total,"US dollars, exchange rate converted",2010,153.3
Russia,Total,"US dollars, exchange rate converted",2014,148.0
Russia,Total,"US dollars, exchange rate converted",2015,142.0
Russia,Total,"US dollars, exchange rate converted",2016,126.0
Russia,Total,"US dollars, exchange rate converted",2017,124.0
Russia,Total,"US dollars, exchange rate converted",2018,155.0
Russia,Total,"US dollars, exchange rate converted",2019,131.0
Austria,Total,"US dollars, exchange rate converted",2023,106.73964898300846
Austria,Start-up and other early stage,"US dollars, exchange rate converted",2023,87.3560815240213
Belgium,Start-up and other early stage,"US dollars, exchange rate converted",2023,142.82411318996782
Czechia,Seed,"US dollars, exchange rate converted",2023,5.080567704089129
Denmark,Seed,"US dollars, exchange rate converted",2023,88.61261298121805
Finland,Total,"US dollars, exchange rate converted",2023,199.31384639298952
Finland,Seed,"US dollars, exchange rate converted",2023,39.654294199958315
Finland,Later stage venture,"US dollars, exchange rate converted",2023,41.24807334149936
France,Total,"US dollars, exchange rate converted",2011,563.8275094621634
France,Seed,"US dollars, exchange rate converted",2023,266.4581303161383
Germany,Seed,"US dollars, exchange rate converted",2023,176.64238973514497
Greece,Seed,"US dollars, exchange rate converted",2023,4.5490917365169805
Greece,Later stage venture,"US dollars, exchange rate converted",2023,7.119818706717087
Greece,Later stage venture,"US dollars, exchange rate converted",2024,0.270595116050398
Hungary,Start-up and other early stage,"US dollars, exchange rate converted",2023,46.638727262056136
Hungary,Later stage venture,"US dollars, exchange rate converted",2023,1.0812686256630286
Hungary,Seed,"US dollars, exchange rate converted",2024,0.4762474042487005
Ireland,Total,"US dollars, exchange rate converted",2020,284.1328287263233
Ireland,Later stage venture,"US dollars, exchange rate converted",2023,128.87938098149695
Latvia,Total,"US dollars, exchange rate converted",2023,2.7376315952574517
Latvia,Start-up and other early stage,"US dollars, exchange rate converted",2023,1.42659338664103
Latvia,Seed,"US dollars, exchange rate converted",2024,0.3247141392604776
Lithuania,Total,"US dollars, exchange rate converted",2023,31.74298685925589
Lithuania,Start-up and other early stage,"US dollars, exchange rate converted",2023,21.155204476763515
Lithuania,Later stage venture,"US dollars, exchange rate converted",2023,1.0509931041444638
Luxembourg,Seed,"US dollars, exchange rate converted",2023,2.1333429984331556
Luxembourg,Total,"US dollars, exchange rate converted",2023,35.55672942883196
Norway,Total,"US dollars, exchange rate converted",2010,204.8408968319468
Norway,Later stage venture,"US dollars, exchange rate converted",2023,116.04954485294724
Norway,Start-up and other early stage,"US dollars, exchange rate converted",2023,129.7226191319065
Norway,Seed,"US dollars, exchange rate converted",2023,15.269210586104254
Norway,Total,"US dollars, exchange rate converted",2023,261.041374570958
Poland,Start-up and other early stage,"US dollars, exchange rate converted",2023,40.72756143779144
Portugal,Total,"US dollars, exchange rate converted",2023,42.01457385754563
Portugal,Seed,"US dollars, exchange rate converted",2023,5.214958581572787
Portugal,Start-up and other early stage,"US dollars, exchange rate converted",2023,16.344348418659774
Portugal,Later stage venture,"US dollars, exchange rate converted",2023,20.455266857313067
Portugal,Seed,"US dollars, exchange rate converted",2024,13.583874825729982
Slovak Republic,Start-up and other early stage,"US dollars, exchange rate converted",2023,4.703518521634174
Slovak Republic,Total,"US dollars, exchange rate converted",2023,17.651515685596323
Slovak Republic,Seed,"US dollars, exchange rate converted",2024,0.6494282785209552
Slovenia,Seed,"US dollars, exchange rate converted",2024,0.3247141392604776
Slovenia,Start-up and other early stage,"US dollars, exchange rate converted",2024,0.5411902321007961
Sweden,Total,"US dollars, exchange rate converted",2019,366.4317912131684
Sweden,Later stage venture,"US dollars, exchange rate converted",2023,173.66962546455085
Switzerland,Total,"US dollars, exchange rate converted",2009,246.37683645771568
Croatia,Total,"US dollars, exchange rate converted",2007,10.04218786323928
Croatia,Later stage venture,"US dollars, exchange rate converted",2007,3.300579227777945
Croatia,Start-up and other early stage,"US dollars, exchange rate converted",2007,6.7416086354613345
Croatia,Later stage venture,"US dollars, exchange rate converted",2008,6.106941647592398
Croatia,Total,"US dollars, exchange rate converted",2008,6.106941647592398
Croatia,Start-up and other early stage,"US dollars, exchange rate converted",2010,0.409970292228266
